id,gen,ht,wt,imb,age,cirw,cirth,cirn
455,1,167,61,21872,31,74,101,34
456,0,180,74,22840,41,86,99,39
457,1,162,58,22100,36,64,97,37
458,1,170,57,19723,27,65,93,34
459,1,160,57,22266,27,72,101,36
460,0,171,64,21887,48,76,97,38
461,1,162,53,20195,26,63,94,32
462,0,176,99,31960,39,104,111,42
463,0,176,92,29700,38,99,107,43
464,1,170,60,20761,38,76,94,36
465,1,159,98,38764,44,99,123,41
466,1,170,56,19377,28,67,93,36
467,1,171,64,21887,24,67,96,35
468,1,160,68,26563,33,84,102,37
469,1,160,70,27344,40,94,99,40
470,0,182,90,27171,53,98,108,42
471,1,165,62,22773,30,71,97,30
472,1,172,59,19943,26,74,93,35
473,1,0,0,0,42,0,0,
474,1,165,61,22406,35,77,99,36
475,1,163,50,18819,30,71,93,31
476,1,0,0,0,18,0,0,0
477,1,158,55,22032,37,77,96,36
478,1,170,60,20761,25,78,93,36
479,0,180,90,27778,32,97,102,42
480,1,176,63,20338,29,73,102,35
481,0,185,90,26297,40,94,103,39
482,0,190,101,27978,33,102,113,41
483,1,168,69,24447,44,81,107,32
484,1,164,56,20821,46,70,93,32
485,1,169,82,28710,30,92,110,37
486,0,185,92,26881,26,91,102,42
487,1,172,84,28394,47,90,117,36
488,0,183,101,30159,36,104,112,47
489,0,182,80,24152,39,94,95,40
490,0,173,82,27398,34,92,106,41
491,0,180,90,27778,45,104,111,47
492,1,147,45,20825,21,62,84,33
493,1,157,55,22313,36,60,94,33
494,1,161,64,24690,43,81,101,37
495,1,170,80,27682,33,97,107,40
496,1,165,76,27916,36,83,116,37
497,1,158,58,23233,28,79,96,33
498,1,164,56,20821,31,69,99,34
499,1,169,62,21708,22,69,95,34
500,1,168,64,22676,44,74,100,38
451,1,158,59,23634,29,76,100,34
452,1,166,93,33749,43,86,118,39
453,1,162,76,28959,33,92,107,36
454,1,158,64,25637,57,88,106,35
455,1,167,61,21872,31,74,101,34
456,0,180,74,22840,41,86,99,39
457,1,162,58,22100,36,64,97,37
458,1,170,57,19723,27,65,93,34
459,1,160,57,22266,27,72,101,36
460,0,171,64,21887,48,76,97,38
461,1,162,53,20195,26,63,94,32
462,0,176,99,31960,39,104,111,42
463,0,176,92,29700,38,99,107,43
464,1,170,60,20761,38,76,94,36
465,1,159,98,38764,44,99,123,41
466,1,170,56,19377,28,67,93,36
467,1,171,64,21887,24,67,96,35
468,1,160,68,26563,33,84,102,37
469,1,160,70,27344,40,94,99,40
470,0,182,90,27171,53,98,108,42
471,1,165,62,22773,30,71,97,30
472,1,172,59,19943,26,74,93,35
473,1,0,0,0,42,0,0,0
474,1,165,61,22406,35,77,99,36
475,1,163,50,18819,30,71,93,31
476,1,0,0,0,18,0,0,0
477,1,158,55,22032,37,77,96,36
478,1,170,60,20761,25,78,93,36
479,0,180,90,27778,32,97,102,42
480,1,176,63,20338,29,73,102,35
481,0,185,90,26297,40,94,103,39
482,0,190,101,27978,33,102,113,41
483,1,168,69,24447,44,81,107,32
484,1,164,56,20821,46,70,93,32
485,1,169,82,28710,30,92,110,37
486,0,185,92,26881,26,91,102,42
487,1,172,84,28394,47,90,117,36
488,0,183,101,30159,36,104,112,47
489,0,182,80,24152,39,94,95,40
490,0,173,82,27398,34,92,106,41
491,0,180,90,27778,45,104,111,47
492,1,147,45,20825,21,62,84,33
493,1,157,55,22313,36,60,94,33
494,1,161,64,24690,43,81,101,37
495,1,170,80,27682,33,97,107,40
496,1,165,76,27916,36,83,116,37
497,1,158,58,23233,28,79,96,33
498,1,164,56,20821,31,69,99,34
499,1,169,62,21708,22,69,95,34
500,1,168,64,22676,44,74,100,38
551,1,167,62,22231,48,76,102,38
552,0,189,64,17917,45,87,103,39
553,1,170,75,25952,36,95,105,39
554,0,184,77,22743,27,82,85,41
555,0,182,71,21435,49,81,99,40
556,1,158,57,22833,33,71,95,34
557,1,152,65,28134,47,85,101,37
558,1,159,49,19382,24,69,86,30
559,0,174,70,23121,33,87,90,41
560,0,172,60,20281,26,73,96,39
561,0,173,83,27732,52,101,102,42
562,1,0,0,0,18,0,0,0
563,0,176,93,30023,38,95,103,43
